Kategorie;Fun Fact
Tiere;Der Floh kann bis zum 200-fachen seiner eigenen Höhe springen. Das entspricht dem Sprung eines Menschen auf das Empire State Building in New York.
Tiere;In der Karibik gibt es Austern, die auf Bäume klettern können.
Tiere;Der Kolibri ist die einzige Vogelart, die rückwärts fliegen kann.
Tiere;Das tödlichste Tier der Welt ist weder der Hai, noch das Krokodil – sondern der Moskito.
Tiere;Koalas schlafen etwa 22 Stunden am Tag.
Tiere;Die Zunge eines Blauwals wiegt etwa so viel wie ein kleines Auto.
Tiere;Ein Kamel kann in 15 Minuten etwa 200 Liter Wasser trinken.
Tiere;In einem Hektar Grünfläche verstecken sich rund 50.000 Spinnen.
Tiere;Die Fledermaus ist das einzige Säugetier, das fliegen kann.
Tiere;Manche männliche Singvögel singen mehr als 2.000 Mal am Tag.
Tiere;Eine Tarantel-Spinne überlebt bis zu zwei Jahre ohne Essen.
Tiere;Die Hausfliege summt in der Tonart F-Dur.
Tiere;Schmetterlinge schmecken mit ihren Füßen.
Tiere;Im Zweiten Weltkrieg haben die Amerikaner Fledermäuse trainiert, damit sie Bomben abwerfen.
Tiere;Die Honigbiene existiert schon seit schätzungsweise 50 Millionen Jahren.
Tiere;Pro Ohr verfügt die Katze über 32 Muskeln.
Tiere;Ein Fohlen kann schon wenige Stunden nach der Geburt stehen und rennen.
Tiere;Ein Specht kann pro Sekunde etwa 15 bis 20 Mal picken.
Tiere;Ein Elefant kann Wasser aus einer Entfernung von etwa vier Kilometern riechen.
Tiere;Das Herz eines Wals schlägt nur vier bis neun Mal pro Minute.
Tiere;Der Seestern ist das einzige Tier, das seinen Magen von innen nach außen stülpen kann.
Tiere;Haie existieren bereits länger als Dinosaurier.
Tiere;Das schwerste bisher gefundene Exemplar eines Tintenfischs wog 450 Kilogramm.
Tiere;Seesterne haben fünf Augen – eines am Ende jedes Beines.
Tiere;Katzen hören Ultraschall.
Tiere;Manche Hunde- und Katzenrassen sind so intelligent wie ein zweijähriges Kind.
Tiere;Unter den Überlebenden des Titanic-Unfalls gab es drei Hunde.
Tiere;Schlangen zwinkern nicht.
Tiere;Die Netze der Seidenspinne sind aufgrund ihrer Reißfestigkeit Gegenstand der Forschung. Wissenschaftlerinnen und Wissenschaftler hoffen, aus der Seide Knochenersatzmaterial zu züchten.
Tiere;Geparden fauchen wie Katzen.
Tiere;Eisbären haben schwarze Haut.
Weltall;Im Zentrum unserer Galaxie (Milchstraße) soll sich ein supermassereiches Schwarzes Loch befinden – es trägt den Namen Sagittarius A* (Sgr A*) und umfasst eine Masse, die 4 Millionen Mal so groß ist wie die Sonne.
Weltall;Nach aktuellem Stand würde ein modernes Raumschiff etwa 450 Millionen Jahre brauchen, um zum Zentrum unserer Galaxie zu kommen.
Weltall;Venus ist der heißeste Planet mit einer Temperatur von 430 Grad Celsius.
Weltall;Die Sonne umfasst etwa 99 Prozent der Masse in unserer Galaxie.
Weltall;Forschende entdeckten im Weltraum ein Radiosignal aus 9 Milliarden Lichtjahren Entfernung.
Weltall;Auf dem Planeten Venus regnet es Säure.
Weltall;Jedes Jahr entfernt sich der Mond rund vier Zentimeter von der Erde.
Weltall;Der Weltraum ist vollkommen still, da dort ein Vakuum herrscht.
Weltall;Die Menschheit weiß mehr über den Mond als über die Ozeane auf der Erde.
Weltall;Der Blick in den Sternenhimmel zeigt immer nur die Vergangenheit.
Weltall;Die Lichtstrahlen der Sonne benötigen acht Minuten, bis sie hier auf der Erde eintreffen. Daher sehen wir beispielsweise die Sonne so, wie sie eigentlich vor acht Minuten war.
Weltall;Selbst mit Lichtgeschwindigkeit würden wir vier Jahre brauchen, um den nahegelegensten Stern zu erreichen.
Weltall;Der Mond ist der Grund, warum es auf der Erde Gezeiten und Wellen gibt. Zusammen mit der Sonne bewegt er jeden Tag Milliarden von Tonnen Wasser.
Weltall;Australien ist im Durchmesser etwa 600 Kilometer größer als der Mond.
Weltall;Normale Stifte funktionieren im Weltall nicht, denn sie sind auf Schwerkraft angewiesen – um die Tinte zur Feder zu leiten. Stattdessen würde die Tinte im Weltall herumschweben.
Weltall;Auf dem Saturn und Jupiter regnet es Diamanten.
Weltall;Alle Planeten in unserem Sonnensystem würden zwischen die Erde und den Mond passen.
Weltall;Etwa 27 Prozent des Universums besteht aus Dunkler Materie. Sie ist unsichtbar und gibt keine elektromagnetische Strahlung ab.
Weltall;Der Zwergplanet Pluto ist halb so groß wie die Vereinigten Staaten von Amerika.
Weltall;Der Planet Jupiter hat 79 Monde.
Weltall;Astronomen haben eine riesige Wasserdampfwolke entdeckt, die 140 Billionen Mal so viel Wasser enthält wie die Ozeane der Erde – in einer Entfernung von etwa 10 Milliarden Lichtjahren.
Weltall;Die durchschnittliche Temperatur im Universum beträgt minus 270 Grad Celsius.
Weltall;Während sich das Universum ausdehnt, kühlt es sich ab. Das heißt, dass es in Zukunft viel kälter sein wird.
Weltall;Sterne bestehen aus galaktischem Staub.
Weltall;Die Sonne erreicht Temperaturen von über 5500 Grad Celsius.
Weltall;Berühren sich zwei Teile der gleichen Art von Metall im Weltraum, verbinden sie sich und bleiben dauerhaft aneinander haften.
Weltall;In 3,75 Milliarden Jahren werden die Milchstraße und die Andromeda-Galaxie zusammenstoßen.
Weltall;Auf dem Mars existiert ein Vulkan, der mit seinen 26.400 Metern fast dreimal so groß ist wie der Mount Everest.
Menschlicher Körper;Der Mensch atmet immer nur durch ein Nasenloch zur gleichen Zeit. Das andere Nasenloch ist in der Zeit “inaktiv”. Die Nasenlöcher wechseln sich nach etwa fünf Minuten ab.
Menschlicher Körper;Dein Gehirn selbst empfindet keine Schmerzen. Für Kopfschmerzen sind beispielsweise die Blutgefäße deiner Hirnhaut verantwortlich.
Menschlicher Körper;Auf der Erde werden die Bandscheiben unserer Wirbelsäule durch die Schwerkraft zusammengedrückt, wodurch wir im Laufe des Tages ein wenig an Höhe verlieren.
Menschlicher Körper;Im Körper eines 70 Kilogramm schweren Menschen stecken rund 38 Billionen Bakterien.
Menschlicher Körper;Nur zwei Prozent der Weltbevölkerung besitzt grüne Augen.
Menschlicher Körper;Der Mensch teilt sich über 98 Prozent der DNA mit Schimpansen.
Menschlicher Körper;Warum genau der Mensch gähnt, ist bislang nicht geklärt.
Menschlicher Körper;Unsere Erinnerungen verändern sich im Laufe der Zeit, weil unser Gehirn eine Erinnerung immer wieder neu konstruiert, wenn wir an sie denken.
Menschlicher Körper;Du kannst nicht gleichzeitig atmen und schlucken.
Menschlicher Körper;Auf deiner Zunge befinden sich rund 8.000 Geschmacksknospen.
Menschlicher Körper;Ein Mensch produziert in seinem Leben knapp 40.000 Liter Speichel. Damit lassen sich etwa 500 Badewannen füllen.
Menschlicher Körper;Befindet sich der Mensch im Weltraum, wird er bis zu zwei Zentimeter größer – unter anderem durch die Dehnung der Bänder und durch die Dekompression der Wirbelsäule.
Menschlicher Körper;Dein Blut braucht weniger als eine Minute, um durch den kompletten Kreislauf zu rauschen.
Menschlicher Körper;Wenn du Musik hörst, passt sich der Rhythmus deines Herzens der Musik an.
Menschlicher Körper;Die Länge aller Blutgefäße im menschlichen Körper beträgt 100.000 Kilometer. Das reicht zweieinhalb Mal um die Erde.
Menschlicher Körper;Unsere Magensäure kann auch mit Metallen reagieren und sie auflösen.
Menschlicher Körper;Jeder Mensch hat einen einzigartigen Zungenabdruck.
Menschlicher Körper;Pro Tag verlieren wir rund ein Gramm Hautschuppen.
